,GradientBoostingRegressor,HistGradientBoostingRegressor
MAE_log,0.08705729498977575,0.08742588394957337
RMSE_log,0.1347335112721588,0.13607144912571997
R2_log,0.9027221322978836,0.9007805520608998
Median_APE_%,5.504740600649713,5.686450996274372
fit_time_s,,3.9742560386657715
