,Truoc_FE,Sau_FE
MAE_log,0.08995777596467723,0.08705729498977575
RMSE_log,0.13325356806701835,0.1347335112721588
R2_log,0.9048474393879546,0.9027221322978836
Median_APE_%,5.804338595216634,5.504740600649713
fit_time_s,0.33458399772644043,
