bac,so_cot,RMSE_train,RMSE_test,he_so_tuyet_doi_lon_nhat
1,4,4.570930584824314,4.5026332295321865,14.763927385645434
2,14,4.261401625218904,4.231200085537431,91.61998683595975
3,34,4.161327772176089,4.107230477572135,23553.970448675133
4,69,4.087942810873993,4.062031288395286,1901197.344601877
5,125,3.98160111375575,3.9368789730434446,1261832124.8948832
