AT,dPE_dAT
1.81,-1.43027489639311
1.9873869346733668,-1.4423167533037362
2.1647738693467335,-1.4550057641116687
2.3421608040201005,-1.468313151287452
2.5195477386934675,-1.4822104632107753
2.696934673366834,-1.4966695741704714
2.874321608040201,-1.5116626843645191
3.051708542713568,-1.5271623199000408
3.2290954773869345,-1.5431413327933035
3.4064824120603014,-1.5595729009697192
3.5838693467336684,-1.5764305282638442
3.761256281407035,-1.59368804441938
3.938643216080402,-1.6113196050891716
4.116030150753769,-1.6292996918352092
4.293417085427135,-1.6476031121286279
4.470804020100502,-1.666204999349707
4.648190954773869,-1.6850808127878703
4.825577889447237,-1.7042063376416863
5.002964824120603,-1.7235576850188679
5.18035175879397,-1.743111291936273
5.357738693467336,-1.762843921319904
5.535125628140703,-1.7827326620049075
5.71251256281407,-1.8027549287355753
5.889899497487438,-1.822888462165343
6.067286432160804,-1.8431113288567915
6.244673366834171,-1.8634019212816457
6.422060301507537,-1.8837389578207753
6.599447236180904,-1.904101482764195
6.776834170854272,-1.9244688663110643
6.954221105527639,-1.9448208045696855
7.131608040201005,-1.9651373195575075
7.308994974874372,-1.9853987592011226
7.486381909547738,-2.005585797336268
7.663768844221105,-2.0256794337078268
7.841155778894473,-2.045660993969824
8.01854271356784,-2.065512129685431
8.195929648241206,-2.0852148183269636
8.373316582914573,-2.104751363275882
8.55070351758794,-2.1241043938227913
8.728090452261306,-2.1432568651674404
8.905477386934674,-2.1621920584187233
9.08286432160804,-2.1808935805946787
9.260251256281407,-2.19934536462249
9.437638190954774,-2.2175316693384843
9.61502512562814,-2.2354370794881344
9.792412060301507,-2.2530465057260574
9.969798994974875,-2.2703451846160143
10.147185929648241,-2.287318678630911
10.324572864321608,-2.3039528761527985
10.501959798994974,-2.3202339914728722
10.679346733668343,-2.336148564791472
10.85673366834171,-2.351683462218081
11.034120603015076,-2.3668258757713296
11.211507537688442,-2.381563323378991
11.388894472361809,-2.3958836488779838
11.566281407035175,-2.4097750220143697
11.743668341708544,-2.423225938443357
11.92105527638191,-2.4362252197292973
12.098442211055277,-2.448762013345686
12.275829145728643,-2.460825792675166
12.45321608040201,-2.4724063570095223
12.630603015075376,-2.4834938315496844
12.807989949748745,-2.4940786674057285
12.985376884422111,-2.5041516415968728
13.162763819095478,-2.513703857051482
13.340150753768844,-2.5227267426070643
13.51753768844221,-2.531212053010273
13.694924623115579,-2.539151868916906
13.872311557788946,-2.5465385968919056
14.049698492462312,-2.5533649694093583
14.227085427135679,-2.5596240448524967
14.404472361809045,-2.565309207513696
14.581859296482412,-2.570414167594477
14.75924623115578,-2.574932961205505
14.936633165829146,-2.5788599503665903
15.114020100502513,-2.5821898230066864
15.29140703517588,-2.584917592963894
15.468793969849246,-2.587038599985455
15.646180904522613,-2.588548509727758
15.82356783919598,-2.589443313756336
16.000954773869346,-2.5897193295458667
16.178341708542714,-2.5893732004801717
16.35572864321608,-2.5884018958522175
16.533115577889447,-2.5868027108641156
16.71050251256281,-2.5845732666271215
16.88788944723618,-2.581711510161634
17.06527638190955,-2.578215714397201
17.242663316582913,-2.57408447817251
17.42005025125628,-2.569316726235396
17.597437185929646,-2.563911709242836
17.774824120603014,-2.5578690037609544
17.95221105527638,-2.5511885122650195
18.129597989949747,-2.5438704631394433
18.306984924623112,-2.5359154106777817
18.48437185929648,-2.5273242350827374
18.66175879396985,-2.5180981424661564
18.839145728643214,-2.5082386648490287
19.016532663316582,-2.4977476601614903
19.193919597989947,-2.486627312242822
19.371306532663315,-2.4748801308414476
19.548693467336683,-2.462508951614934
19.726080402010048,-2.449516936129998
19.903467336683416,-2.4359075718624963
20.08085427135678,-2.4216846721974328
20.25824120603015,-2.4068523764289527
20.435628140703518,-2.3914151497603493
20.613015075376882,-2.375377783304061
20.79040201005025,-2.3587453940816667
20.967788944723615,-2.341523425023891
21.145175879396984,-2.323717644970608
21.32256281407035,-2.3053341486708305
21.499949748743717,-2.2863793567827164
21.677336683417085,-2.2668600158735717
21.85472361809045,-2.2467831984198465
22.032110552763818,-2.2261563028071323
22.209497487437183,-2.204987053330165
22.38688442211055,-2.1832835001928306
22.56427135678392,-2.161054019508155
22.741658291457284,-2.1383073132983084
22.919045226130653,-2.1150524094946075
23.096432160804017,-2.0912986619375156
23.273819095477386,-2.067055750376635
23.45120603015075,-2.0423336804707155
23.62859296482412,-2.017142783787654
23.805979899497487,-1.991493717804489
23.98336683417085,-1.9653974659074025
24.16075376884422,-1.9388653373917244
24.338140703517585,-1.9119089674619274
24.515527638190953,-1.884540317231628
24.69291457286432,-1.856771673723588
24.870301507537686,-1.8286156498697164
25.047688442211054,-1.800085184511063
25.22507537688442,-1.7711935423978238
25.402462311557787,-1.7419543141893372
25.579849246231156,-1.7123814164540878
25.75723618090452,-1.682489091669712
25.93462311557789,-1.6522919082229794
26.112010050251254,-1.621804760409802
26.289396984924622,-1.5910428684352547
26.466783919597987,-1.5600217784135426
26.644170854271355,-1.528757362368009
26.821557788944723,-1.497265818231161
26.998944723618088,-1.4655636698446393
27.176331658291456,-1.4336677669592262
27.35371859296482,-1.4015952852348514
27.53110552763819,-1.3693637262405964
27.708492462311558,-1.3369909174546755
27.885879396984922,-1.3044950122644587
28.06326633165829,-1.271894489966447
28.240653266331655,-1.2392081557663053
28.418040201005024,-1.2064551407788233
28.59542713567839,-1.173654902027947
28.772814070351757,-1.1408272224467606
28.950201005025125,-1.1079922108774996
29.12758793969849,-1.0751703020715433
29.304974874371858,-1.042382256689407
29.482361809045223,-1.0096491613007599
29.65974874371859,-0.9769924283844117
29.83713567839196,-0.944433796328318
30.014522613065324,-0.9119953294295753
30.191909547738693,-0.8796994178944306
30.369296482412057,-0.8475687778382761
30.546683417085426,-0.8156264512856386
30.724070351758794,-0.7838958061701957
30.90145728643216,-0.7524005363347805
31.078844221105527,-0.7211646615313496
31.25623115577889,-0.6902125274210118
31.43361809045226,-0.6595688055740361
31.611005025125625,-0.6292584934698173
31.788391959798993,-0.5993069144968937
31.96577889447236,-0.5697397179529654
32.14316582914573,-0.5405828790448641
32.320552763819094,-0.511862698888569
32.49793969849246,-0.4836058045091962
32.67532663316583,-0.45583914884103194
32.852713567839196,-0.4285900107274718
33.03010050251256,-0.40188599492108057
33.20748743718593,-0.3757550320835594
33.3848743718593,-0.35022537878575233
33.56226130653266,-0.325325617507658
33.73964824120603,-0.3010846566384082
33.9170351758794,-0.2775317304762792
34.09442211055276,-0.2546963992287008
34.271809045226135,-0.23260854901224137
34.4491959798995,-0.211298391852617
