AT,trong_dai_du_lieu,du_doan_bac1,du_doan_bac_toi_uu_ridge,du_doan_bac5_ridge,du_doan_spline
1.81,True,489.8037773121965,479.0498164930245,479.0498164930245,486.5533039131094
37.11,True,419.70151808661916,424.20231093621044,424.20231093621044,433.1933163760622
45.0,False,404.03276949483995,418.92670351104016,418.92670351104016,433.1933163760622
50.0,False,394.10327102096215,442.2763620063529,442.2763620063529,433.1933163760622
60.0,False,374.24427407320655,682.9534378813951,682.9534378813951,433.1933163760622
