model,RMSE,MAE,R2
Polynomial Ridge (bac 5),4.05150133572336,3.1782283390128447,0.9434090278144208
"Spline Ridge (n_knots=6, degree=3)",4.153016388341813,3.265887576128674,0.9405375948384274
