bac,RMSE_linear,he_so_max_linear,RMSE_ridge,ridge_alpha,he_so_max_ridge,he_so_giam_lan
4,4.062031288395286,1901197.344601877,4.091374478914043,0.001,230.5650779558676,8245.816588780131
5,3.9368789730434446,1261832124.8948832,4.05150133572336,0.001,205.5225875670639,6139627.4727376895
