kien_truc,so_tham_so,accuracy,so_epoch_thuc_te,thoi_gian_s
(64),50890,0.9533333333333334,38,44.34137830004329
(128),101770,0.9586666666666667,38,19.472305200004485
"(128,64)",109386,0.9603333333333334,26,7.587742900010198
"(256,128,64)",242762,0.964,23,67.29247079999186
