seed_split,he_so_bmi,he_so_bmi_dup,bien_duoc_giu
0,26.125663975980697,0.0,bmi
1,24.103942824759674,0.6066658565930624,ca hai
2,18.526669849775473,4.8999699922497815,ca hai
3,24.91590248084685,0.0,bmi
4,16.153668332497826,6.214975830719598,ca hai
