model,so_bien_giu,tong_so_bien,RMSE,MAE,R2
Ridge (alpha=351),200,200,58.047273431664124,48.53567511750526,0.3640261523664772
Lasso (alpha=7.925),5,200,53.72801274117708,44.25654654725527,0.4551497408649504
