days_left,gia_du_doan,trong_dai_train (<=49)
1,15749.735843915343,True
20,7014.680436507935,True
49,7303.9367142857145,True
60,7303.9367142857145,False
100,7303.9367142857145,False
365,7303.9367142857145,False
