model,MAE,RMSE,R2
Dummy,19768.69424587037,22704.23535747973,-5.741993791552602e-08
Linear Regression,4553.287816782152,6761.7135222016095,0.9113048651706634
1 cay don,1161.6538205260615,3532.430815199737,0.9757934111336507
Random Forest (300 cay),1089.6847453467142,2694.420508768525,0.9859162918875766
"XGBoost (300 cay, depth=8)",1485.90771484375,2760.7288892609504,0.9852145910263062
