days_left,gia_du_doan_trung_binh
4.0,25133.20352300188
4.895833333333333,24592.89088862336
5.791666666666667,23952.068166336365
6.6875,23962.5924949046
7.583333333333334,23814.431095324213
8.479166666666668,23806.015338523102
9.375,24145.958830258627
10.270833333333334,24314.362051549506
11.166666666666668,22988.00764539411
12.0625,22820.265035781063
12.958333333333334,22810.98243322378
13.854166666666668,22813.1141976741
14.75,22104.242884799176
15.645833333333334,20627.14750731489
16.541666666666668,20617.09478937119
17.4375,20630.29713387796
18.333333333333336,20109.96195436256
19.229166666666668,19999.62084839579
20.125,19927.26682193208
21.020833333333336,19837.57949022496
21.916666666666668,19863.690163665404
22.8125,19946.55040936874
23.708333333333336,19973.581904749815
24.604166666666668,19715.93740236885
25.5,19692.917120678914
26.395833333333336,19629.82062820521
27.291666666666668,19690.408591414074
28.1875,19714.656968711544
29.083333333333336,19764.51075647514
29.979166666666668,19800.097705534783
30.875,19625.65092657818
31.770833333333336,19467.504570983336
32.66666666666667,19482.646629009232
33.5625,19543.89696783929
34.458333333333336,19544.327613504895
35.35416666666667,19646.653037112843
36.25,19663.213424447717
37.145833333333336,19718.261490356417
38.04166666666667,19833.043841624316
38.9375,19459.78959569931
39.833333333333336,19401.91224381124
40.72916666666667,19452.557639094022
41.625,19390.819756673074
42.520833333333336,19442.266839456766
43.41666666666667,19441.982514634
44.3125,19423.4611255621
45.208333333333336,19417.10928458226
46.10416666666667,19331.379863916947
47.0,19336.475604904157
