model,pr_auc,roc_auc,train_time_s,predict_ms,best_iteration
Baseline (Dummy),0.0012171714807359207,0.49909772674009845,,,
Logistic Regression,0.6948148880860825,0.9777904220223179,2.058258399993065,1.584890500016627,
XGBoost,0.7645392905098994,0.9770023976492221,5.855762799998047,6.131411999740521,124.0
Random Forest,0.7769517895565765,0.9750236610120603,25.122234900001786,47.05060599902936,
LightGBM,0.6770782939391224,0.972470750482234,0.9083664999925531,1.7474500004027504,
