cost_fp_vnd,threshold_chon_tren_val,test_precision,test_recall,test_total_cost_vnd
100000,0.8300000000000001,0.582089552238806,0.75,66854800.0
200000,0.8300000000000001,0.582089552238806,0.75,69654800.0
300000,0.9500000000000001,0.8478260869565217,0.75,66154800.0
500000,0.9500000000000001,0.8478260869565217,0.75,67554800.0
