model,MAE,RMSE,R2,trong_15%_%
"Decision Tree (dispatch, depth=5)",2.2008663559628507,5.043765917860027,0.9117912508568918,64.98605392482402
"Decision Tree (toi uu, depth=12)",1.8900694770758724,4.7322202336232335,0.9223517424540224,71.50219152609908
Random Forest Regressor,1.774272286605634,4.0458837013229845,0.9432418008016845,73.26603798645237
Linear Regression,2.370567130620933,4.870964973745988,0.9177318310119482,60.10891220613628
