quang_duong_mi,gia_10%,gia_trung_vi_50%,gia_90%
1.0,7.062554963805525,8.400217973612884,10.644068249151976
2.0,11.577493824816756,13.646780126957404,17.13109941258437
5.0,22.198047646535944,26.093859986203096,30.42929410253891
10.0,38.919400120082344,42.42714864015427,49.37489644215501
20.0,69.99407139568945,69.99998408694606,75.23611392682548
