group,n,selection_rate,true_positive_rate,false_positive_rate
Amer-Indian-Eskimo,104,0.0673076923076923,0.5555555555555556,0.021052631578947368
Asian-Pac-Islander,304,0.24671052631578946,0.6666666666666666,0.10176991150442478
Black,944,0.07521186440677965,0.5041322314049587,0.012150668286755772
Other,69,0.08695652173913043,0.45454545454545453,0.017241379310344827
White,8348,0.20999041686631528,0.654554034922133,0.05875742494782469
