model,pr_auc,roc_auc,train_time_s,n_estimators
Random Forest (Bagging),0.7568525618711084,0.8945928720447104,11.64,300
Gradient Boosting,0.8303562865886317,0.9285444912700695,36.58,500
AdaBoost,0.7948374027145455,0.9149471977090861,10.42,300
