,SVR (tuned),RandomForest,XGBoost
RMSE,5.350867420127149,5.209518618925601,4.212091396110041
R2,0.888886753934557,0.8946795651877534,0.9311485601817796
fit_time_s,11.74805212020874,0.4670369625091553,0.5582818984985352
