model,pr_auc,roc_auc,train_time_s,n_estimators
Random Forest (Bagging),0.7568534445710786,0.8945929008238784,4.743430137634277,300
Gradient Boosting,0.830368646156201,0.9285467360451828,91.95348834991455,500
AdaBoost,0.7948374027145455,0.9149471977090861,33.97008776664734,300
