model,RMSE,MAE,R2,MAPE_%
Baseline (mean),1.1448563543099792,0.9060685490007149,-0.00021908714592466794,62.8861496325994
LR co ban,0.6918188437370285,0.5051863188397602,0.6347603530676871,30.83895587858052
LR log-target,0.7609796940524145,0.49153414595561506,0.5580844573138684,27.648446821562462
LR + feature engineering,0.6661571084486478,0.4854818048337066,0.6613535922713406,29.77837521559567
"Ridge (TT-12, alpha=1.0)",0.6661571322541342,0.4854757699847063,0.6613535680679132,29.776355920135135
Random Forest (TT-17),0.4748643615846882,0.3035682995155041,0.8279192483815696,17.167021598596147
