model,cv_auc_mean,cv_auc_std,test_auc,recall_at_chosen_thr,precision_at_chosen_thr,co_giai_thich_duoc_truc_tiep
Logistic Regression (L2),0.9246827246827246,0.03622990108246434,0.9025974025974027,0.9090909090909091,0.7894736842105263,Có (odds ratio)
SVM (RBF kernel),0.8968660968660969,0.048287026399764,0.8777056277056278,0.9393939393939394,0.6595744680851063,Không
Random Forest,0.8991711991711991,0.05812244253658195,0.8939393939393939,0.9696969696969697,0.6530612244897959,Không
