bien,he_so_trung_binh,do_lech_chuan,he_so_bien_thien_%
X5,7.531555417435681,0.3332407015166877,4.424593368127249
X1,-7.24845632427848,0.38411066907169555,5.299206505323468
X2,-3.9038811174062817,0.2730552428142598,6.99445589151742
X4,-3.6890643422553224,0.2737513057920724,7.4206161886760045
X7,1.7685270506584603,0.06582509918520392,3.722029536426702
X8_1,0.8396417644339226,0.11396021911783684,13.5724810204823
X8_4,0.7767121164744982,0.11534709402479858,14.850688122178376
X8_2,0.772699356409551,0.12147826692533277,15.721284859068277
X8_5,0.6637795838161563,0.12435213439308689,18.73394985699471
X8_3,0.6408911881296606,0.12227022145006523,19.078156123021678
X6_5,0.15904098720414436,0.0757796934222844,47.64790181100542
X3,0.15145878044774322,0.09612061515138438,63.46321742934423
X6_3,-0.11870580819029534,0.0720628172865238,60.70706933817516
X6_4,-0.04110269077312001,0.07805024594180696,189.89084284683764
