bien,he_so_Y1_tai_suoi,he_so_Y2_tai_lam_mat,chenh_lech_tuyet_doi
X8_5,1.5750746413464634,0.5551108647469811,1.0199637765994822
X8_3,1.6204206382804465,0.6538262846729466,0.9665943536074999
X1,-6.221371879373185,-7.179664282254718,0.9582924028815327
X8_2,1.641129845476507,0.7104755225855447,0.9306543228909624
X8_1,1.591579962179036,0.6697580015918048,0.9218219605872313
X8_4,1.432767328817199,0.5990923364580486,0.8336749923591503
X3,0.8728762890714994,0.22138294543744114,0.6514933436340582
X2,-3.4820363285540417,-3.9948881251479444,0.5128517965939028
X7,2.3126561350203465,1.8136435797803492,0.4990125552399973
X6_3,-0.04593708287573232,-0.2569733426532846,0.21103625977755228
X4,-3.637401937187365,-3.825369817923489,0.18796788073612403
X6_4,-0.020264823096575176,-0.1382279720129183,0.11796314891634313
X5,7.323825292944769,7.213604431810513,0.11022086113425633
X6_5,-0.09121358460010853,0.017976631865618316,0.10919021646572685
