model,alpha,l1_ratio,so_bien_giu,RMSE,MAE,R2
Dummy,,,14,10.23758974168782,9.272103050044418,-0.0055245239100216725
Linear,,,14,2.87227709368207,2.0590362333385634,0.9208501870029356
Ridge,0.271858824273294,,14,2.8757822747945654,2.0639061146321063,0.9206568883037047
Lasso,0.001291549665014884,1.0,14,2.8745619070730895,2.061731792146513,0.9207242141429065
ElasticNet,0.00045348785081285824,0.1,14,2.8755553409386376,2.0635054043339642,0.9206694100637876
