bien,he_so_elasticnet,do_quan_trong_tuyet_doi
X5,7.213604431810513,7.213604431810513
X1,-7.179664282254718,7.179664282254718
X2,-3.9948881251479444,3.9948881251479444
X4,-3.825369817923489,3.825369817923489
X7,1.8136435797803492,1.8136435797803492
X8_2,0.7104755225855447,0.7104755225855447
X8_1,0.6697580015918048,0.6697580015918048
X8_3,0.6538262846729466,0.6538262846729466
X8_4,0.5990923364580486,0.5990923364580486
X8_5,0.5551108647469811,0.5551108647469811
X6_3,-0.2569733426532846,0.2569733426532846
X3,0.22138294543744114,0.22138294543744114
X6_4,-0.1382279720129183,0.1382279720129183
X6_5,0.017976631865618316,0.017976631865618316
