bien,he_so_elasticnet,do_quan_trong_tuyet_doi
X5,7.323825292944769,7.323825292944769
X1,-6.221371879373185,6.221371879373185
X4,-3.637401937187365,3.637401937187365
X2,-3.4820363285540417,3.4820363285540417
X7,2.3126561350203465,2.3126561350203465
X8_2,1.641129845476507,1.641129845476507
X8_3,1.6204206382804465,1.6204206382804465
X8_1,1.591579962179036,1.591579962179036
X8_5,1.5750746413464634,1.5750746413464634
X8_4,1.432767328817199,1.432767328817199
X3,0.8728762890714994,0.8728762890714994
X6_5,-0.09121358460010853,0.09121358460010853
X6_3,-0.04593708287573232,0.04593708287573232
X6_4,-0.020264823096575176,0.020264823096575176
