model,alpha,l1_ratio,so_bien_giu,RMSE,MAE,R2
Dummy,,,14,9.666248182723116,8.74185329328652,-0.008408593861118474
Linear,,,14,3.1197549334643537,2.1805119086253533,0.89495833056301
Ridge,0.19179102616724888,,14,3.1208998383462365,2.179362010902751,0.894881218873122
Lasso,0.0007220809018385464,1.0,14,3.120345490650517,2.1797611827431256,0.8949185588595484
ElasticNet,0.00031992671377973844,0.1,14,3.120835491066443,2.1794357775782958,0.8948855535446842
