n_estimators,accuracy,f1
1,0.9212542171065687,0.9151338865600137
2,0.9212542171065687,0.9151338865600137
3,0.9466560825560627,0.9431760527650939
4,0.9305417741615399,0.9258097337629303
5,0.9358602897400278,0.9309224587501068
6,0.9357015280809684,0.9298762011947017
7,0.9463782496527089,0.9407534096390826
8,0.9464973208970033,0.9408823787387072
9,0.9464973208970033,0.9408720063163435
10,0.9427267314943442,0.936984147779379
11,0.9428854931534034,0.9371478488753003
12,0.9465370113117683,0.9409288251545849
13,0.9428854931534034,0.9371478488753003
14,0.9528874776741417,0.948308147890084
15,0.9474498908513594,0.9418788410886743
16,0.9586425878150426,0.9549151955694012
17,0.9533240722365549,0.9487134757959006
18,0.9555864258781505,0.9517859451075014
19,0.9586425878150426,0.9548995844875346
20,0.9556658067076801,0.9518845573982339
21,0.9590791823774558,0.95540078729939
22,0.9560627108553285,0.9523358449946179
23,0.95927763445128,0.9556266758930888
24,0.9562611629291526,0.9525613430908308
25,0.95927763445128,0.9556266758930888
26,0.9562611629291526,0.9525613430908308
27,0.9592379440365152,0.9555853479219825
28,0.9603889660646954,0.9568264405606506
29,0.9628497717801151,0.9598076262452765
30,0.9635245088311173,0.9604884130874071
31,0.9611827743599921,0.9580797256750965
32,0.9637229609049415,0.9607118294360385
33,0.9644770787854733,0.9614506611534651
34,0.9637229609049415,0.9607118294360385
35,0.9644373883707085,0.9614092514428461
36,0.9636038896606469,0.9605879571925904
37,0.965032744592181,0.9620798002840787
38,0.9610240127009327,0.9579190949605759
39,0.965032744592181,0.9620798002840787
40,0.9610240127009327,0.9579190949605759
41,0.965032744592181,0.9620798002840787
42,0.9610240127009327,0.9579190949605759
43,0.9653105774955348,0.9623891901196316
44,0.9617781305814646,0.9587173661422386
45,0.9653105774955348,0.9623891901196316
46,0.9617781305814646,0.9587173661422386
47,0.9653105774955348,0.9623891901196316
48,0.9710656876364357,0.9683772177156986
49,0.9635245088311173,0.9605325316727507
50,0.9697955943639611,0.9670348711284383
51,0.9635245088311173,0.9605325316727507
52,0.9711053780512007,0.9684247050659265
53,0.9634848184163525,0.9604980678402748
54,0.9711053780512007,0.9684247050659265
55,0.9711053780512007,0.9684219658193806
56,0.9609843222861679,0.9579033017857908
57,0.9673744790633062,0.9644924406047516
58,0.9711053780512007,0.9684219658193806
59,0.9672950982337766,0.9644091223220456
60,0.9676920023814248,0.9648258577478178
61,0.9665409803532446,0.9636340106121393
62,0.9709069259773765,0.9681373614431645
63,0.9668585036713634,0.9639915477165898
64,0.9668188132565986,0.9639530872714729
65,0.9668585036713634,0.9639915477165898
66,0.9668981940861282,0.9640362225097024
67,0.9668981940861282,0.9640362225097024
68,0.9713832109545545,0.9687188164345525
69,0.9716213534431435,0.9689737470167065
70,0.9666203611827744,0.96377030112437
71,0.9713435205397897,0.9686795072011105
72,0.9665806707680096,0.963728784354269
73,0.9714625917840841,0.96881370635437
74,0.9715022821988489,0.9688530279368385
75,0.9715022821988489,0.9688584316446912
76,0.9715419726136139,0.9688977573417776
77,0.9666203611827744,0.963776543050351
78,0.9715816630283787,0.9689424828663139
79,0.9671363365747172,0.9643164971556628
80,0.9715816630283787,0.9689424828663139
81,0.9754316332605676,0.9732694217731139
82,0.9720579480055567,0.9694788866730253
83,0.971978567176027,0.9693948326686319
84,0.9720579480055567,0.9694788866730253
85,0.971978567176027,0.9693948326686319
86,0.9759476086525104,0.9738432320441989
87,0.972216709664616,0.9697937343574696
88,0.9721373288350863,0.9696103896103896
89,0.9718991863464973,0.9693453411846207
90,0.9722960904941457,0.9697626061341189
91,0.9769795594363961,0.9748678395008233
92,0.9751934907719786,0.9730591835854994
93,0.9763445128001588,0.9742303701141474
94,0.977019249851161,0.9749578305436616
95,0.9768207977773368,0.9747492217225874
96,0.9777733677316928,0.975799481417459
97,0.9773367731692796,0.9753379691616637
98,0.977733677316928,0.9757573138585195
99,0.9785274856122247,0.9766639347797955
100,0.9777733677316928,0.9758015728977616
101,0.9787656281008137,0.9769287162016473
102,0.9775749156578686,0.9755907893031495
103,0.9787656281008137,0.9769287162016473
104,0.9777733677316928,0.9758015728977616
105,0.9788053185155785,0.9769708469898223
106,0.9778130581464576,0.9758437405470809
107,0.9787656281008137,0.9769187626731093
108,0.9777733677316928,0.9758015728977616
109,0.9771383210954554,0.9752428436344881
110,0.9799563405437587,0.9781979881707896
111,0.9790434610041675,0.9771882830726691
112,0.9780115102202818,0.9760938983343402
113,0.9786465568565191,0.9767682874168754
114,0.9780115102202818,0.9760938983343402
115,0.9786465568565191,0.9767682874168754
116,0.979400674737051,0.9776514662188348
117,0.978209962294106,0.9763147676776393
118,0.9795197459813455,0.9776893808370806
119,0.9795594363961103,0.97781415586094
120,0.9789640801746379,0.9771058315334773
121,0.9794403651518159,0.9776820336062042
122,0.9796388172256401,0.9778238879522759
123,0.9795197459813455,0.9777662874870734
124,0.9799960309585235,0.9782214156079855
125,0.9793212939075213,0.9774780616435396
126,0.979162532248462,0.9773443231346826
127,0.9791228418336971,0.9772727272727273
128,0.9798769597142291,0.9780775716694773
129,0.9788053185155785,0.9769688605192789
130,0.9801547926175829,0.9784371226496463
131,0.9801547926175829,0.9783755730473143
132,0.979162532248462,0.9773384555617904
133,0.9801151022028181,0.9784209846233364
134,0.9792022226632269,0.9773806440473107
135,0.9800754117880531,0.9783657990001724
136,0.979162532248462,0.977330627401874
137,0.9798769597142291,0.9780832576838283
138,0.9794800555665807,0.9776818476149364
139,0.9814248858900575,0.9798049538275654
140,0.9806310775947609,0.9789618899810312
141,0.9813851954752927,0.9797626752966558
142,0.9801547926175829,0.9784054590999396
143,0.9807501488390553,0.9790252129913939
144,0.9798769597142291,0.9781116435694858
145,0.9800754117880531,0.978332182320442
146,0.9801151022028181,0.9783762786481937
147,0.9801547926175829,0.9784166450833117
148,0.9800754117880531,0.9783340526542943
149,0.9800754117880531,0.978332182320442
150,0.9805120063504663,0.9788188602734998
151,0.9805516967652312,0.9788610871440897
152,0.9805120063504663,0.9788188602734998
153,0.9806310775947609,0.9789455518163775
154,0.9805120063504663,0.9788188602734998
155,0.9806310775947609,0.9789455518163775
156,0.9817027187934114,0.9801387273275602
157,0.9818217900377059,0.9802654257152706
158,0.9817027187934114,0.9801387273275602
159,0.9806310775947609,0.9789455518163775
160,0.981782099622941,0.9802265971653815
161,0.9809882913276444,0.9793293919647866
162,0.9826949791625322,0.9812360130831469
163,0.9820599325262949,0.9805340223944875
164,0.9820599325262949,0.9805340223944875
165,0.9819805516967652,0.9804462055301921
166,0.9809882913276444,0.9793222533995252
167,0.9811073625719389,0.979438444924406
168,0.9820599325262949,0.9805340223944875
169,0.9812661242309982,0.9796305886414638
170,0.9812661242309982,0.9796217943182799
171,0.9812661242309982,0.9796323465953224
172,0.9814248858900575,0.9797979797979798
173,0.9811867434014685,0.9795495728708258
174,0.9826155983330026,0.9811174340403518
175,0.9823774558444136,0.9808686659772492
176,0.9826552887477674,0.9811613570720352
177,0.9824568366739432,0.9809564842740198
178,0.9828140504068268,0.9813370113357183
179,0.9832903353840048,0.9818776634669192
180,0.9826552887477674,0.981167851756087
181,0.9814645763048224,0.9798420166616307
182,0.9826155983330026,0.9811255709730242
183,0.9826552887477674,0.9811613570720352
184,0.9823377654296488,0.9808297074914918
185,0.9828537408215916,0.9813809154383243
186,0.981543957134352,0.9799266134254263
187,0.9839253820202422,0.9825753990448737
188,0.9829331216511212,0.9814687122909843
189,0.9839253820202422,0.9825753990448737
190,0.9829331216511212,0.9814687122909843
191,0.9823774558444136,0.9808719627778735
192,0.9824171462591784,0.9809010562621254
193,0.9808692200833499,0.9792026234035209
194,0.9808692200833499,0.9792223467540305
195,0.9812661242309982,0.9796446437812661
196,0.9811470529867037,0.9795090807126526
197,0.98202024211153,0.9804480124304027
198,0.983210954554475,0.9818072340974582
199,0.9825362175034729,0.9810573445841226
200,0.9839253820202422,0.9826053343641283
201,0.98325064496924,0.9818494623655915
202,0.9843619765826553,0.9830872252747253
203,0.9842429053383608,0.9829430719656284
204,0.9843619765826553,0.9830872252747253
205,0.9835681682873586,0.9821874193270803
206,0.9829331216511212,0.9814814814814815
207,0.984679499900774,0.9834249398832017
208,0.9828537408215916,0.9813921433494142
209,0.9828140504068268,0.9813466591995864
210,0.9840047628497718,0.9826450195943327
211,0.9831712641397102,0.9817603028478018
212,0.9838460011907124,0.9824772893615189
213,0.983012502480651,0.9815913978494624
214,0.9833697162135344,0.9819885655332502
215,0.9831315737249454,0.9817180711489655
216,0.9833697162135344,0.9819885655332502
217,0.9831315737249454,0.9817180711489655
218,0.9833300257987696,0.9819463548830811
219,0.9834094066282992,0.9820307798125698
220,0.983449097043064,0.9820560265071647
221,0.983449097043064,0.9820776206644604
222,0.9831315737249454,0.9817196438556497
223,0.983488787457829,0.9820982872880627
224,0.9831315737249454,0.9817243603526123
225,0.9835284778725938,0.9821405517063304
226,0.9843222861678904,0.9830100219364274
227,0.9837666203611828,0.9824184327042944
228,0.9842825957531256,0.9829677419354839
229,0.9837666203611828,0.9824184327042944
230,0.9842825957531256,0.9829677419354839
231,0.9837666203611828,0.9824199441220718
232,0.9842825957531256,0.9829677419354839
233,0.984679499900774,0.9834249398832017
234,0.9842429053383608,0.9829254655713733
235,0.9842825957531256,0.9829633453794527
236,0.9844810478269498,0.9831704902509362
237,0.9842825957531256,0.9829794549987105
238,0.9844016669974202,0.9830989549735518
239,0.9842825957531256,0.9829823807477439
240,0.9844810478269498,0.9831762832924573
241,0.9849970232188926,0.9837307394335887
242,0.9849970232188926,0.9837307394335887
243,0.9849970232188926,0.9837307394335887
244,0.9849970232188926,0.9837307394335887
245,0.9846001190712443,0.9833089563795921
246,0.9849970232188926,0.9837307394335887
247,0.9845604286564794,0.9832652183265218
248,0.9850367136336575,0.9837744781579514
249,0.9846001190712443,0.9833089563795921
250,0.9850367136336575,0.9837744781579514
251,0.9850367136336575,0.9837744781579514
252,0.9836475491168882,0.9822810940994323
253,0.9845604286564794,0.9832522495371766
254,0.9844810478269498,0.9831864115244033
255,0.9848779519745982,0.9836065573770492
256,0.984679499900774,0.9834049871023216
257,0.9847985711450684,0.9835318398761663
258,0.9848779519745982,0.9836065573770492
259,0.9847588807303036,0.9834938101788171
260,0.985155784877952,0.9839181286549707
261,0.9849970232188926,0.9837391379162006
262,0.9847588807303036,0.9834952290896587
263,0.985155784877952,0.9839153621193876
264,0.9850367136336575,0.9837800628146108
265,0.985155784877952,0.9839181286549707
266,0.9849970232188926,0.983744732089103
267,0.9851160944631872,0.9838674983867498
268,0.9850367136336575,0.9837884325951408
269,0.9850367136336575,0.9837884325951408
270,0.9850764040484223,0.9838321293429653
271,0.9849970232188926,0.983744732089103
272,0.9851954752927168,0.9839535383953538
273,0.9851160944631872,0.9838702739902792
274,0.9850367136336575,0.983787038231626
275,0.985155784877952,0.9839139784946237
276,0.985155784877952,0.9839125946317963
277,0.9851954752927168,0.9839576792396026
278,0.9850764040484223,0.9838321293429653
279,0.9851954752927168,0.9839576792396026
280,0.9852351657074816,0.9839986235375086
281,0.9852748561222465,0.9840327092748009
282,0.9853542369517762,0.9841283496064347
283,0.9855129986108355,0.9842976984297699
284,0.9851160944631872,0.9838744356052462
285,0.9853542369517762,0.9841283496064347
286,0.9851160944631872,0.9838744356052462
287,0.9851954752927168,0.9839590590461446
288,0.9853542369517762,0.9841283496064347
289,0.9854733081960706,0.9842526460717667
290,0.9851954752927168,0.9839590590461446
291,0.9853542369517762,0.9841256184125619
292,0.9856717602698948,0.9844644317252658
293,0.985393927366541,0.9841734044383279
294,0.9853542369517762,0.9841297148509741
295,0.9857511410994245,0.9845531603631513
296,0.9855129986108355,0.9842949959123962
297,0.9855923794403652,0.9843837384383738
298,0.9855129986108355,0.9842990493396997
299,0.9854336177813058,0.9842170902679224
300,0.9855526890256003,0.9843413920674524
