model,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_time_s
Baseline (Dummy),0.502853800056314,0.002612204833509734,0.46670017695399746,0.00280196422064639,6.784520999994129
1 Stump (depth=1),0.9221499683590484,0.002019125132329863,0.9160969050868966,0.002234364135567719,7.630678000001353
AdaBoost (300 stump),0.9848618316230017,0.0005492776472457654,0.9836244261154257,0.000597957306630557,217.9558290999994
