model,accuracy,f1,train_time_s
AdaBoost,0.9855526890256003,0.9843413920674524,
Random Forest,0.999047430045644,0.9989761965702585,
Gradient Boosting,0.9976979559436396,0.997524541186513,173.40376990000368
